epoch time loss acc val_loss val_acc
0 19.5662 0.497701 0.824469 0.470462 0.820176
1 19.2212 0.495036 0.824469 0.469942 0.820176
2 19.1487 0.388300 0.824469 0.367782 0.820176
3 19.0730 0.369099 0.824469 0.355332 0.820176
4 19.1161 0.363357 0.824487 0.349848 0.820176
5 19.0940 0.339695 0.831496 0.335537 0.866693
6 19.1529 0.259757 0.861580 0.220127 0.908167
7 19.2941 0.271970 0.895667 0.242879 0.884307
8 19.3681 0.233300 0.912070 0.242058 0.884468
9 19.0644 0.243536 0.915939 0.231561 0.893595
10 19.1529 0.261650 0.916020 0.178517 0.922658
11 19.2401 0.222517 0.921455 0.188256 0.918655
12 19.2110 0.207825 0.923002 0.184929 0.920256
13 19.1217 0.193121 0.929514 0.161561 0.930825
14 19.2001 0.170598 0.936746 0.153530 0.934347
15 19.0486 0.161700 0.940535 0.131311 0.946597
16 19.0615 0.142758 0.942599 0.128801 0.945877
17 19.2082 0.126104 0.945045 0.122721 0.949640
18 18.9702 0.164545 0.949404 0.122512 0.950761
19 19.2388 0.129423 0.947963 0.137304 0.943315
20 19.6912 0.141694 0.948959 0.121108 0.951401
21 19.1116 0.117915 0.951716 0.118441 0.952762
22 19.1642 0.113638 0.950204 0.118055 0.953563
23 18.9493 0.132662 0.951503 0.115507 0.954363
24 19.1091 0.120625 0.951743 0.120238 0.951801
25 19.2575 0.116089 0.951841 0.115298 0.953643
26 19.0197 0.131650 0.951948 0.114379 0.954043
27 19.0581 0.110954 0.948950 0.109507 0.957566
28 19.1107 0.116729 0.952428 0.113389 0.954684
29 18.9812 0.113545 0.952953 0.110781 0.955965
30 19.2560 0.113008 0.949128 0.109586 0.957566
31 19.1668 0.110643 0.954136 0.111846 0.955084
32 19.1679 0.112702 0.954421 0.106912 0.959247
33 18.9444 0.108662 0.953433 0.109837 0.956125
34 19.2309 0.113421 0.954750 0.107796 0.958607
35 19.0687 0.110833 0.952873 0.107247 0.959247
36 19.0581 0.112035 0.950729 0.106805 0.958767
37 19.1326 0.107375 0.954118 0.106970 0.958447
38 19.2488 0.106097 0.951699 0.105002 0.960448
39 19.1429 0.105397 0.952757 0.104972 0.959327
40 19.1147 0.117751 0.951974 0.106301 0.958527
41 19.1842 0.115509 0.955693 0.104985 0.960528
42 19.0203 0.106274 0.952455 0.104293 0.960929
43 19.0177 0.105853 0.952962 0.104949 0.959728
44 19.3321 0.104027 0.953931 0.103870 0.960208
45 19.1317 0.107499 0.953994 0.103441 0.960528
46 18.8885 0.103756 0.953024 0.103379 0.961249
47 18.9338 0.104447 0.953451 0.103929 0.959728
48 19.0009 0.104073 0.954269 0.102900 0.961009
49 19.1704 0.103998 0.953851 0.103780 0.960048
