epoch time loss acc val_loss val_acc
0 19.5166 0.439508 0.803788 0.465619 0.824420
1 19.3188 0.422373 0.823998 0.465585 0.824420
2 18.9298 0.422322 0.823998 0.465326 0.824420
3 19.1255 0.399845 0.823998 0.431150 0.824420
4 19.0317 0.341947 0.823144 0.362465 0.824420
5 19.0237 0.326292 0.823998 0.351396 0.824420
6 19.1882 0.322358 0.823998 0.347524 0.824420
7 18.9352 0.319759 0.823998 0.345095 0.824420
8 18.9891 0.315325 0.823998 0.341215 0.824420
9 19.0881 0.291877 0.825457 0.308626 0.824580
10 19.0604 0.257686 0.862034 0.244285 0.889432
11 18.9717 0.189506 0.903104 0.191230 0.916733
12 19.1689 0.184829 0.918128 0.177378 0.924019
13 19.2433 0.175848 0.922478 0.167017 0.928983
14 18.9765 0.171773 0.927637 0.160551 0.931545
15 19.1518 0.159155 0.933668 0.145503 0.938591
16 19.2515 0.156347 0.939548 0.131588 0.944996
17 19.0303 0.132095 0.945516 0.119288 0.950761
18 19.0278 0.119410 0.948372 0.113900 0.952682
19 19.0461 0.116858 0.949866 0.120543 0.950600
20 18.9888 0.110138 0.951939 0.111657 0.951641
21 18.9820 0.117071 0.951592 0.132361 0.944436
22 18.9931 0.108326 0.952286 0.111993 0.952522
23 19.1264 0.107502 0.953202 0.111445 0.952602
24 19.0931 0.105767 0.953718 0.109473 0.953643
25 18.9141 0.105703 0.953487 0.109536 0.953803
26 18.8709 0.104858 0.953842 0.109668 0.953883
27 19.1112 0.103975 0.954074 0.109230 0.954203
28 19.1983 0.103198 0.954385 0.108828 0.954524
29 19.0258 0.102498 0.954518 0.108171 0.955244
30 18.9705 0.101857 0.954643 0.107916 0.955564
31 19.4186 0.101286 0.954821 0.107253 0.955725
32 18.8343 0.100759 0.954821 0.107009 0.956365
33 18.9469 0.100295 0.955097 0.106465 0.956845
34 19.0305 0.099879 0.955399 0.105712 0.956605
35 19.0032 0.099351 0.955506 0.104573 0.956605
36 19.1380 0.098336 0.956066 0.104172 0.957086
37 18.9318 0.097902 0.956039 0.103963 0.956845
38 19.2082 0.097515 0.956039 0.103758 0.957166
39 19.0359 0.097174 0.956173 0.103554 0.957326
40 19.0567 0.096872 0.956297 0.103352 0.957486
41 18.9026 0.096605 0.956315 0.103149 0.957806
42 19.0799 0.096364 0.956395 0.102945 0.957806
43 18.9124 0.096146 0.956458 0.102736 0.957806
44 19.1192 0.095948 0.956431 0.102520 0.958046
45 19.1605 0.095769 0.956484 0.102295 0.958287
46 18.9339 0.095608 0.956627 0.102061 0.958447
47 18.9032 0.095464 0.956635 0.101819 0.958767
48 18.7924 0.095340 0.956662 0.101572 0.958687
49 18.7870 0.095236 0.956733 0.101323 0.958687
