epoch time loss acc val_loss val_acc
0 16.6494 0.475524 0.708857 0.456052 0.830264
1 16.3590 0.477227 0.823348 0.455822 0.830264
2 16.5781 0.477085 0.823348 0.455681 0.830264
3 16.5296 0.476970 0.823348 0.454915 0.830264
4 16.2066 0.355806 0.823348 0.364437 0.830264
5 16.2232 0.343587 0.823348 0.347723 0.830264
6 16.4939 0.332771 0.823348 0.338588 0.830264
7 16.3108 0.313990 0.823331 0.320139 0.832906
8 16.3101 0.262280 0.844341 0.285335 0.852202
9 16.8616 0.210408 0.874283 0.207212 0.913771
10 16.3003 0.219481 0.896717 0.183895 0.926661
11 16.2748 0.168992 0.914374 0.182158 0.925941
12 16.4338 0.155380 0.923483 0.158430 0.938030
13 16.4229 0.207495 0.934184 0.154740 0.935468
14 16.4344 0.113462 0.940579 0.119628 0.953563
15 16.3247 0.119413 0.944307 0.120867 0.952842
16 16.2373 0.101514 0.949911 0.110709 0.956045
17 16.3275 0.102240 0.950062 0.109883 0.955645
18 16.3788 0.099674 0.952170 0.108735 0.955805
19 16.2451 0.108841 0.952054 0.113421 0.955084
20 16.4196 0.103405 0.951503 0.107434 0.956205
21 16.1845 0.102612 0.952401 0.106904 0.956685
22 16.2773 0.099640 0.952677 0.105810 0.957086
23 16.3043 0.099273 0.952206 0.104519 0.957326
24 16.7626 0.100268 0.952045 0.105282 0.957326
25 16.2020 0.098494 0.953558 0.104019 0.957406
26 16.3510 0.099865 0.952739 0.104832 0.957406
27 16.1799 0.097960 0.953478 0.103193 0.957566
28 16.2291 0.100831 0.952481 0.104486 0.958046
29 16.3298 0.100110 0.953860 0.105035 0.958127
30 16.3372 0.098131 0.953469 0.103315 0.958447
31 16.2273 0.097754 0.953833 0.103025 0.958527
32 16.1668 0.096666 0.954163 0.102108 0.958527
33 16.3323 0.099718 0.953825 0.105572 0.957246
34 16.2230 0.096840 0.954020 0.102069 0.959327
35 16.3179 0.096598 0.954234 0.101870 0.959247
36 16.2084 0.096026 0.954527 0.101426 0.959728
37 16.2587 0.095485 0.954634 0.100971 0.959968
38 16.3017 0.095926 0.954625 0.101155 0.959968
39 16.3318 0.095267 0.954954 0.100662 0.960448
40 16.0826 0.095225 0.955132 0.100527 0.960528
41 16.2500 0.095066 0.955186 0.100353 0.960689
42 16.2924 0.095007 0.955017 0.100287 0.960849
43 16.1982 0.094854 0.955097 0.100181 0.960769
44 16.3621 0.094692 0.955159 0.100061 0.960448
45 16.9532 0.094514 0.955221 0.099896 0.960929
46 17.4117 0.094380 0.955328 0.099841 0.960448
47 16.2509 0.094190 0.955452 0.099571 0.960689
48 16.4626 0.094088 0.955443 0.099587 0.960528
49 16.2570 0.093903 0.955479 0.099246 0.960528
