epoch time loss acc val_loss val_acc
0 19.4422 0.512022 0.797588 0.466128 0.823699
1 19.2285 0.492080 0.824078 0.465893 0.823699
2 19.1337 0.491732 0.824078 0.465638 0.823699
3 19.0216 0.488723 0.824078 0.462948 0.823699
4 18.9560 0.370695 0.824087 0.357650 0.824339
5 19.0222 0.369135 0.824051 0.349577 0.823699
6 18.9317 0.363020 0.823677 0.344291 0.822818
7 19.0363 0.353386 0.821872 0.338916 0.821537
8 19.1261 0.344008 0.824273 0.300808 0.833227
9 18.8491 0.211893 0.876934 0.207887 0.912010
10 19.0265 0.188158 0.909989 0.203846 0.912970
11 18.7737 0.180980 0.916144 0.189139 0.919616
12 19.0813 0.177474 0.917167 0.190061 0.918895
13 18.9566 0.177812 0.918315 0.183291 0.922978
14 18.8077 0.175329 0.920120 0.180491 0.924099
15 19.4076 0.173229 0.921152 0.178149 0.924980
16 18.6796 0.171295 0.921953 0.176067 0.926021
17 18.9063 0.169473 0.922922 0.174166 0.927222
18 18.9454 0.167742 0.923616 0.172392 0.927862
19 18.7963 0.166087 0.924328 0.170705 0.928263
20 18.7970 0.164499 0.924808 0.169082 0.929303
21 18.9245 0.162968 0.925324 0.167507 0.929944
22 18.7742 0.161490 0.925902 0.165975 0.930665
23 18.8430 0.160059 0.926560 0.164485 0.931705
24 18.8074 0.158673 0.927281 0.163041 0.932426
25 18.8783 0.157328 0.927913 0.161652 0.932986
26 18.8454 0.156017 0.928268 0.160331 0.933227
27 19.0041 0.154731 0.928749 0.159096 0.933467
28 18.9075 0.153451 0.929478 0.157978 0.933947
29 19.0612 0.152152 0.929825 0.157035 0.934428
30 19.0418 0.150781 0.930359 0.156392 0.934428
31 18.9053 0.149178 0.930928 0.156304 0.934267
32 18.8548 0.147012 0.931257 0.157038 0.933707
33 18.9436 0.144462 0.931657 0.157959 0.932906
34 18.8739 0.142557 0.932058 0.157774 0.933227
35 18.9304 0.140702 0.932458 0.157626 0.933707
36 18.9225 0.138984 0.932974 0.157389 0.933627
37 18.8753 0.137361 0.933659 0.157099 0.933467
38 18.9470 0.135844 0.934006 0.156667 0.933307
39 18.9533 0.134464 0.934673 0.155828 0.933787
40 18.9670 0.133359 0.935260 0.154360 0.934027
41 18.9411 0.132754 0.935678 0.153451 0.934428
42 18.9411 0.132188 0.935883 0.152921 0.934748
43 18.6718 0.131693 0.936203 0.152341 0.934508
44 18.8483 0.131231 0.936496 0.151710 0.934588
45 18.9397 0.130817 0.936630 0.151086 0.934828
46 18.9670 0.130439 0.937012 0.150470 0.935388
47 19.0530 0.130095 0.937128 0.149873 0.935148
48 18.8624 0.129780 0.937448 0.149298 0.935228
49 18.7568 0.129491 0.937617 0.148747 0.935468
