epoch time loss acc val_loss val_acc
0 25.3492 0.572619 0.531476 0.572135 0.819696
1 23.5041 0.477555 0.824523 0.489590 0.819696
2 24.2309 0.458114 0.824523 0.474283 0.819696
3 24.3543 0.455523 0.824523 0.473146 0.819696
4 23.6194 0.455204 0.824523 0.473212 0.819696
5 23.3712 0.455156 0.824523 0.473245 0.819696
6 23.3796 0.455149 0.824523 0.473251 0.819696
7 23.7613 0.455147 0.824523 0.473252 0.819696
8 23.9164 0.455147 0.824523 0.473251 0.819696
9 23.8782 0.455146 0.824523 0.473251 0.819696
10 23.6525 0.455145 0.824523 0.473251 0.819696
11 23.8201 0.455144 0.824523 0.473251 0.819696
12 25.1475 0.455143 0.824523 0.473251 0.819696
13 24.8136 0.455141 0.824523 0.473251 0.819696
14 28.4490 0.455139 0.824523 0.473250 0.819696
15 28.3684 0.455136 0.824523 0.473249 0.819696
16 28.3414 0.455132 0.824523 0.473245 0.819696
17 27.9916 0.455124 0.824523 0.473234 0.819696
18 28.0674 0.455101 0.824523 0.473199 0.819696
19 27.9722 0.455018 0.824523 0.473071 0.819696
20 27.7053 0.454662 0.824523 0.472585 0.819696
21 27.9482 0.429757 0.824523 0.445858 0.819696
22 27.7114 0.381051 0.824567 0.372964 0.819696
23 27.7397 0.360727 0.824585 0.352719 0.819696
24 27.7041 0.351272 0.827298 0.336113 0.838991
25 28.4411 0.336327 0.851431 0.427431 0.829624
26 27.7009 0.265835 0.882173 0.228625 0.902882
27 28.0045 0.265997 0.901458 0.212502 0.913291
28 28.3729 0.246874 0.908254 0.208573 0.911449
29 28.0390 0.242154 0.912355 0.199833 0.914972
30 27.7130 0.238420 0.915228 0.194696 0.916493
31 27.5258 0.234960 0.917114 0.189229 0.919696
32 28.1539 0.241672 0.918795 0.180611 0.923699
33 26.4781 0.232174 0.921063 0.175018 0.927302
34 25.3108 0.229569 0.924346 0.166387 0.930264
35 28.4412 0.218317 0.927592 0.159261 0.932346
36 29.2819 0.217534 0.930928 0.156644 0.933467
37 29.3398 0.206235 0.933410 0.160937 0.933147
38 35.4110 0.196390 0.935981 0.153361 0.934187
39 30.8352 0.188962 0.937502 0.144899 0.939952
40 30.2749 0.181748 0.937395 0.134985 0.946277
41 30.3949 0.180107 0.938898 0.132274 0.946597
42 30.3862 0.172411 0.941736 0.132035 0.946437
43 28.9904 0.173892 0.942714 0.128885 0.948919
44 29.8666 0.175909 0.944876 0.128183 0.949560
45 26.2562 0.186561 0.946281 0.130373 0.946437
46 25.6373 0.184558 0.946744 0.119299 0.951241
47 25.3208 0.186595 0.947473 0.118009 0.949960
48 27.1928 0.175723 0.948790 0.129215 0.949079
49 26.6642 0.183012 0.948140 0.116694 0.954444
