epoch time loss acc val_loss val_acc
0 19.5946 0.457582 0.785775 0.454612 0.830905
1 19.0922 0.444097 0.823277 0.454255 0.830905
2 19.1118 0.444102 0.823277 0.454242 0.830905
3 19.0712 0.443933 0.823277 0.454058 0.830905
4 19.2309 0.439303 0.823277 0.449221 0.830905
5 18.9667 0.336402 0.823277 0.352811 0.830905
6 19.0257 0.323672 0.823277 0.344813 0.830905
7 19.2831 0.318137 0.823242 0.344796 0.830905
8 19.3183 0.317491 0.823704 0.336698 0.831225
9 18.8244 0.308924 0.827031 0.324659 0.836589
10 19.2756 0.280312 0.845969 0.261780 0.883026
11 19.1741 0.231120 0.881986 0.215068 0.915052
12 19.0010 0.166431 0.913831 0.198992 0.917054
13 18.9518 0.153960 0.922442 0.184863 0.922098
14 19.4640 0.152457 0.924061 0.170368 0.930264
15 19.4706 0.140937 0.931649 0.144416 0.938191
16 18.8495 0.126588 0.936416 0.180958 0.923859
17 19.1207 0.134936 0.939049 0.136342 0.943235
18 18.9039 0.115186 0.939405 0.164785 0.931785
19 18.8299 0.104229 0.943773 0.144200 0.939872
20 19.0228 0.105780 0.942883 0.117970 0.951401
21 19.0225 0.098832 0.946682 0.120150 0.951721
22 19.1861 0.099064 0.947536 0.126565 0.948279
23 18.9302 0.096946 0.948425 0.123412 0.950040
24 19.0518 0.110265 0.948985 0.112836 0.953723
25 18.9761 0.095761 0.950169 0.112383 0.954844
26 19.0427 0.099762 0.948825 0.111964 0.954444
27 19.0264 0.095256 0.950551 0.113146 0.954924
28 19.0033 0.094231 0.950240 0.108079 0.956205
29 18.9427 0.095650 0.951734 0.108580 0.954764
30 19.1071 0.100401 0.951939 0.110999 0.954604
31 18.9913 0.095321 0.952437 0.110569 0.955084
32 18.9771 0.092416 0.951610 0.106043 0.957486
33 18.9785 0.089876 0.951627 0.108611 0.955004
34 18.9813 0.086302 0.953513 0.107463 0.956365
35 19.0617 0.100754 0.939814 0.108487 0.955404
36 19.0941 0.092950 0.951823 0.113999 0.954684
37 19.0989 0.093141 0.952819 0.105389 0.957406
38 19.2075 0.087046 0.953602 0.104550 0.957806
39 19.1178 0.089926 0.953326 0.104270 0.957246
40 19.0589 0.084908 0.953807 0.104812 0.957006
41 19.0627 0.085187 0.953913 0.105172 0.956445
42 19.0707 0.088702 0.952997 0.102831 0.958607
43 18.9729 0.087457 0.953237 0.103640 0.958207
44 18.9954 0.084233 0.954243 0.106167 0.956525
45 19.0598 0.089003 0.953825 0.105695 0.957326
46 18.9444 0.087443 0.954776 0.101919 0.959568
47 18.8946 0.089859 0.953825 0.103500 0.958847
48 19.1003 0.091691 0.954269 0.102753 0.958687
49 19.0569 0.097144 0.953647 0.103317 0.958287
