epoch time loss acc val_loss val_acc
0 17.1105 0.449787 0.812176 0.462463 0.826101
1 16.4441 0.440576 0.823811 0.462136 0.826101
2 16.5328 0.440288 0.823811 0.461847 0.826101
3 16.5075 0.357272 0.823811 0.374754 0.826101
4 16.3894 0.329652 0.823811 0.350321 0.826101
5 16.5963 0.319497 0.823811 0.338078 0.826101
6 16.6232 0.240768 0.840997 0.241800 0.896077
7 16.6573 0.212147 0.855220 0.507966 0.708727
8 16.5044 0.203857 0.901823 0.177819 0.925781
9 16.5317 0.261106 0.912791 0.205790 0.905845
10 17.2120 0.214507 0.920485 0.179667 0.924740
11 16.3598 0.193662 0.926160 0.165678 0.928983
12 17.6066 0.183993 0.934442 0.131215 0.945236
13 16.3214 0.133506 0.942109 0.115976 0.953243
14 16.3671 0.116218 0.949537 0.113185 0.953163
15 16.5049 0.121173 0.950578 0.109166 0.955164
16 16.5006 0.125256 0.952010 0.111810 0.953163
17 16.6394 0.115590 0.951236 0.112814 0.953163
18 16.5079 0.118567 0.954278 0.104025 0.957486
19 16.3935 0.123861 0.952553 0.105507 0.957326
20 16.4747 0.119324 0.955168 0.103359 0.957726
21 16.4367 0.121401 0.953371 0.103013 0.958447
22 16.5861 0.119772 0.955417 0.103247 0.957966
23 16.4117 0.119566 0.954856 0.124103 0.946918
24 16.4860 0.112931 0.952259 0.130974 0.944035
25 16.4957 0.114734 0.953380 0.112452 0.953323
26 16.4927 0.112415 0.955070 0.117527 0.949480
27 16.5534 0.116549 0.955959 0.102068 0.958767
28 16.4980 0.113062 0.954901 0.118827 0.949079
29 16.5603 0.116652 0.956057 0.101825 0.958927
30 16.5195 0.116770 0.954767 0.099202 0.959007
31 16.5037 0.117957 0.955328 0.112851 0.951882
32 16.5834 0.114582 0.956120 0.099534 0.959888
33 16.5723 0.113613 0.956075 0.100356 0.958927
34 16.5199 0.110487 0.956004 0.102924 0.956845
35 16.7013 0.113555 0.956529 0.099440 0.960128
36 16.4498 0.112949 0.955977 0.099733 0.959568
37 16.4164 0.113925 0.955586 0.114021 0.951641
38 16.3416 0.110277 0.956306 0.098284 0.960288
39 16.4133 0.111356 0.956538 0.100260 0.959488
40 16.4788 0.107811 0.956413 0.124865 0.946437
41 16.3867 0.107887 0.954785 0.109906 0.954363
42 16.4167 0.108080 0.956858 0.098789 0.959808
43 16.4613 0.109140 0.956627 0.100846 0.959087
44 16.5472 0.109685 0.956876 0.111520 0.953563
45 16.3520 0.107136 0.957018 0.097771 0.960528
46 16.3925 0.106265 0.957205 0.097151 0.959968
47 16.4311 0.106302 0.956778 0.106594 0.955965
48 16.4599 0.112755 0.957712 0.109821 0.954844
49 16.3383 0.109603 0.956956 0.112736 0.952842
