epoch time loss acc val_loss val_acc
0 14.3175 0.613201 0.458348 0.592474 0.822978
1 14.0168 0.519379 0.824158 0.487993 0.822978
2 14.4349 0.510993 0.824158 0.469131 0.822978
3 14.1770 0.513002 0.824158 0.467560 0.822978
4 13.8811 0.513865 0.824158 0.467499 0.822978
5 13.8367 0.514052 0.824158 0.467502 0.822978
6 13.7418 0.514077 0.824158 0.467503 0.822978
7 13.7163 0.514075 0.824158 0.467502 0.822978
8 13.5738 0.514070 0.824158 0.467501 0.822978
9 13.8133 0.514064 0.824158 0.467501 0.822978
10 13.7753 0.514058 0.824158 0.467500 0.822978
11 13.6918 0.514051 0.824158 0.467499 0.822978
12 13.9307 0.514044 0.824158 0.467498 0.822978
13 13.6450 0.514037 0.824158 0.467496 0.822978
14 13.7446 0.514029 0.824158 0.467495 0.822978
15 13.7470 0.514020 0.824158 0.467492 0.822978
16 13.8382 0.514004 0.824158 0.467485 0.822978
17 13.6936 0.513622 0.824158 0.467165 0.822978
18 13.7031 0.406436 0.824469 0.373096 0.834828
19 13.8128 0.313986 0.849091 0.298219 0.874380
20 13.5984 0.252229 0.891540 0.238210 0.903363
21 13.8714 0.243509 0.901574 0.228352 0.905845
22 13.9029 0.237066 0.905354 0.221472 0.907126
23 13.7439 0.232642 0.907667 0.214638 0.907846
24 13.6956 0.227850 0.909704 0.208860 0.909608
25 13.7224 0.222790 0.911652 0.203361 0.910969
26 14.3047 0.218591 0.913600 0.197838 0.914171
27 13.7738 0.214425 0.915859 0.193012 0.917454
28 13.7717 0.214445 0.918617 0.186213 0.920897
29 13.8326 0.219819 0.922086 0.178875 0.924820
30 13.5817 0.205821 0.925271 0.171230 0.929063
31 13.8051 0.222051 0.927690 0.169244 0.929143
32 13.7817 0.210236 0.929781 0.164428 0.930504
33 13.8021 0.196150 0.932485 0.158563 0.934988
34 13.7233 0.180638 0.935571 0.152233 0.937150
35 13.6098 0.165032 0.938098 0.146001 0.940512
36 13.7393 0.158422 0.939227 0.139972 0.942914
37 13.8685 0.148267 0.942020 0.137031 0.944035
38 13.9093 0.146833 0.942910 0.131724 0.946998
39 13.8451 0.137502 0.945596 0.127688 0.948599
40 13.6886 0.139414 0.944929 0.137298 0.945637
41 13.6716 0.132310 0.946895 0.131489 0.949079
42 13.6297 0.127896 0.943515 0.135638 0.946597
43 13.6575 0.131436 0.951361 0.118372 0.954444
44 13.7240 0.152716 0.950951 0.115487 0.955324
45 13.5969 0.128099 0.952561 0.113359 0.956926
46 13.8108 0.123772 0.951049 0.127591 0.947478
47 13.8177 0.116485 0.950684 0.143769 0.942914
48 13.8088 0.114259 0.953487 0.144066 0.942114
49 13.6988 0.114509 0.953807 0.139681 0.944996
