epoch time loss acc val_loss val_acc
0 18.5595 0.592891 0.653119 0.589884 0.822898
1 18.8347 0.488936 0.824167 0.484031 0.822898
2 18.7280 0.474348 0.824167 0.468350 0.822898
3 19.4839 0.473487 0.824167 0.467059 0.822898
4 18.8170 0.473546 0.824167 0.467002 0.822898
5 18.8040 0.473568 0.824167 0.467003 0.822898
6 18.6630 0.473569 0.824167 0.467002 0.822898
7 18.5357 0.473566 0.824167 0.467001 0.822898
8 18.4172 0.473563 0.824167 0.467000 0.822898
9 18.6482 0.473560 0.824167 0.466998 0.822898
10 18.6927 0.473556 0.824167 0.466996 0.822898
11 18.5657 0.473552 0.824167 0.466994 0.822898
12 18.6624 0.473547 0.824167 0.466991 0.822898
13 18.5346 0.473539 0.824167 0.466986 0.822898
14 18.5958 0.473527 0.824167 0.466976 0.822898
15 18.4620 0.473508 0.824167 0.466960 0.822898
16 18.5969 0.473481 0.824167 0.466937 0.822898
17 18.6164 0.473432 0.824167 0.466897 0.822898
18 18.5894 0.473298 0.824167 0.466784 0.822898
19 18.5432 0.472345 0.824167 0.465965 0.822898
20 18.4418 0.378249 0.824665 0.379497 0.827862
21 18.7196 0.310385 0.837252 0.320377 0.850921
22 18.4250 0.241400 0.885740 0.256975 0.894956
23 18.5083 0.235233 0.901093 0.247988 0.896477
24 18.5189 0.215139 0.902863 0.239739 0.897838
25 18.5365 0.209684 0.904189 0.232675 0.900000
26 18.5669 0.206505 0.905932 0.228052 0.901041
27 18.4981 0.204317 0.906937 0.224204 0.902402
28 18.7087 0.202704 0.907943 0.220749 0.903923
29 18.3994 0.201719 0.909099 0.217439 0.903683
30 18.7068 0.201432 0.910113 0.214161 0.905444
31 18.5253 0.201443 0.911519 0.210793 0.906805
32 18.5580 0.201082 0.913075 0.207258 0.908887
33 18.5044 0.200388 0.914917 0.203823 0.911129
34 19.0031 0.199236 0.916491 0.200713 0.913611
35 18.3938 0.197808 0.918270 0.197949 0.916093
36 18.4290 0.196349 0.919569 0.195361 0.918014
37 18.5500 0.194553 0.921019 0.192730 0.919856
38 18.5450 0.192367 0.922157 0.190020 0.921537
39 18.4503 0.190050 0.922976 0.187259 0.921537
40 18.4601 0.187757 0.923794 0.184436 0.922578
41 18.3742 0.185484 0.924586 0.181597 0.923619
42 18.5312 0.183237 0.925893 0.178813 0.925380
43 18.5257 0.181110 0.926916 0.176105 0.927062
44 18.4594 0.179413 0.927966 0.173493 0.927862
45 18.6046 0.177962 0.929514 0.171328 0.928503
46 18.6256 0.174019 0.930537 0.169160 0.929303
47 18.6227 0.172216 0.931462 0.166544 0.930504
48 18.5156 0.170214 0.932858 0.165459 0.930825
49 18.5794 0.164788 0.933917 0.161579 0.932186
